RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-1081295	-1604186	13.477016	12.843144	13:28:37N	12:50:35E	33PTQ6651390913	ND33-09	P	PPL		NG	02				N				GUESKEROU	Gueskérou	Gueskerou	GUESKEROU	Gueskérou	Gueskerou		2008-06-10	1,2,3,4,5,6,7,8,9	1			2015-05-12		
3	-1081295	10514025	13.477016	12.843144	13:28:37N	12:50:35E	33PTQ6651390913	ND33-09	P	PPL		NG	02				V				GESKEROU	Geskérou	Geskerou	GESKEROU	Geskérou	Geskerou		2008-06-10	1,2,3,4,5,6,7,8,9				2015-05-12		
3	10204580	10514029	13.556928	12.984341	13:33:25N	12:59:04E	33PTQ8187799625	ND33-09	P	PPL		NG	02				N				MANIRAM	Maniram	Maniram	MANIRAM	Maniram	Maniram		2008-06-09	1,2,3,4	1			2008-06-09		
3	10204581	10514030	13.557596	12.951176	13:33:27N	12:57:04E	33PTQ7828799729	ND33-09	P	PPL		NG	02				N				WOOR	Woor	Woor	WOOR	Woor	Woor		2008-06-09	1,2,3,4	1			2008-06-09		
3	10204582	10514031	13.53378	12.995025	13:32:02N	12:59:42E	33PTQ8301297054	ND33-09	P	PPL		NG	02				N				KOUDOUGOU	Koudougou	Koudougou	KOUDOUGOU	Koudougou	Koudougou		2008-06-09	1,2,3,4	1			2008-06-09		
3	10204536	10513981	13.59677	12.095574	13:35:48N	12:05:44E	33PSR8568905006	ND33-09	P	PPL		NG	02				N				ALANJOURORI	Alanjourori	Alanjourori	ALANJOURORI	Alanjourori	Alanjourori		2008-06-09	1,2,3,4	1			2008-06-09		
3	10204488	10513913	13.711488	12.231381	13:42:41N	12:13:53E	33PTR0054117535	ND33-09	P	PPL		NG	02				N				NGELKOUNOUMA	Ngel Kounouma	Ngel Kounouma	NGELKOUNOUMA	Ngel Kounouma	Ngel Kounouma		2008-06-06	1,2,3,4	1			2008-06-06		
3	10204521	10513947	13.578739	11.11276	13:34:43N	11:06:46E	32PQA2861402128	ND32-12	P	PPL		NG	02				N				MATAWARAM	Matawaram	Matawaram	MATAWARAM	Matawaram	Matawaram		2008-06-06	1,2,3,4	1			2008-06-06		
3	10205152	10514926	13.495473	12.903612	13:29:44N	12:54:13E	33PTQ7307992898	ND33-09	P	PPL		NG	02				N				BOULAMIRI	Boulamiri	Boulamiri	BOULAMIRI	Boulamiri	Boulamiri		2008-06-10	1,2,3,4	1			2008-06-10		
3	10206044	10516003	13.22663	12.451926	13:13:36N	12:27:07E	33PTQ2385463604	ND33-09	P	PPL		NG	02				N				KARAGAMARI	Kara Gamari	Kara Gamari	KARAGAMARI	Kara Gamari	Kara Gamari		2008-06-17	1,2,3,4	1			2008-06-11		
1	10206044	10518374	13.22663	12.451926	13:13:36N	12:27:07E	33PTQ2385463604	ND33-09	P	PPL		NG	02				V				KARAMARI	Karamari	Karamari	KARAMARI	Karamari	Karamari		2008-06-17	1,2,3,4				2008-06-18		
3	10206045	10516004	13.215693	12.497786	13:12:56N	12:29:52E	33PTQ2881562343	ND33-09	P	PPL		NG	02				N				LAWANIBRANDI	Lawan Ibrandi	Lawan Ibrandi	LAWANIBRANDI	Lawan Ibrandi	Lawan Ibrandi		2008-06-17	1,2,3,4	1			2008-06-11		
3	10205132	10514658	13.549056	12.928774	13:32:57N	12:55:44E	33PTQ7585498805	ND33-09	P	PPL		NG	02				N				DIGINE	Diginé	Digine	DIGINE	Diginé	Digine		2008-06-09	1,2,3,4	1			2008-06-09		
3	10205133	10514659	13.571875	12.870911	13:34:19N	12:52:15E	33PTR6961101383	ND33-09	P	PPL		NG	02				N				MARAMBO	Marambo	Marambo	MARAMBO	Marambo	Marambo		2008-06-09	1,2,3,4	1			2008-06-09		
3	10205134	10514660	13.537851	12.917568	13:32:16N	12:55:03E	33PTQ7463097575	ND33-09	P	PPL		NG	02				N				BAGANARI	Baganari	Baganari	BAGANARI	Baganari	Baganari		2008-06-09	1,2,3,4	1			2008-06-09		
3	10205135	10514661	13.511568	12.940794	13:30:42N	12:56:27E	33PTQ7712094645	ND33-09	P	PPL		NG	02				N				KARAWA	Karawa	Karawa	KARAWA	Karawa	Karawa		2008-06-09	1,2,3,4	1			2008-06-09		
3	10205970	10515915	13.103645	12.2753	13:06:13N	12:16:31E	33PTQ0455250191	ND33-09	P	PPL		NG	02				N				ABARI	Abari	Abari	ABARI	Abari	Abari		2008-06-17	1,2,3,4	1			2008-06-11		
3	10206046	10516005	13.214565	12.509584	13:12:52N	12:30:35E	33PTQ3009362205	ND33-09	P	PPL		NG	02				N				GREMAGABIRI	Gréma-Gabiri	Grema-Gabiri	GREMAGABIRI	Gréma-Gabiri	Grema-Gabiri		2008-06-17	1,2,3,4	1			2008-06-11		
3	10206049	10516008	13.193095	12.540806	13:11:35N	12:32:27E	33PTQ3345659796	ND33-09	P	PPL		NG	02				N				LOGO	Logo	Logo	LOGO	Logo	Logo		2008-06-17	1,2,3,4	1			2008-06-11		
3	10206050	10516009	13.180502	12.546397	13:10:50N	12:32:47E	33PTQ3404858396	ND33-09	P	PPL		NG	02				N				MAYA	Maya	Maya	MAYA	Maya	Maya		2008-06-11	1,2,3,4	1			2008-06-11		
3	10205964	10515909	13.181081	12.242455	13:10:52N	12:14:33E	33PTQ0108258802	ND33-09	P	PPL		NG	02				N				ZARAMIRI	Zaramiri	Zaramiri	ZARAMIRI	Zaramiri	Zaramiri		2008-06-17	1,2,3,4	1			2008-06-11		
3	10205965	10515910	13.184697	12.259871	13:11:05N	12:15:36E	33PTQ0297659182	ND33-09	P	PPL		NG	02				N				AMBALAMKARAGAMARI	Ambalam Karagamari	Ambalam Karagamari	AMBALAMKARAGAMARI	Ambalam Karagamari	Ambalam Karagamari		2008-06-17	1,2,3,4	1			2008-06-11		
3	10205966	10515911	13.216774	12.293851	13:13:00N	12:17:38E	33PTQ0670062693	ND33-09	P	PPL		NG	02				N				KOGOURI	Kogouri	Kogouri	KOGOURI	Kogouri	Kogouri		2008-06-17	1,2,3,4	1			2008-06-11		
3	10205967	10515912	13.172272	12.27842	13:10:20N	12:16:42E	33PTQ0497357784	ND33-09	P	PPL		NG	02				N				LAWANMADOU	Lawan Madou	Lawan Madou	LAWANMADOU	Lawan Madou	Lawan Madou		2008-06-11	1,2,3,4	1			2008-06-11		
